"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
290, 473.87, 507.37, 726.32, 852.34, 453.14, 330.24, 8.97, 453.14, 0.02
291, 487.90, 507.60, 725.34, 863.59, 453.29, 335.67, 11.83, 453.29, 0.02
292, 473.87, 507.84, 724.14, 860.43, 453.44, 344.81, 8.63, 453.44, 0.01
293, 454.47, 507.71, 740.20, 840.14, 453.30, 347.23, 11.47, 453.30, 0.01
294, 489.80, 507.85, 725.92, 865.77, 453.34, 325.30, 12.24, 453.34, 0.01
295, 463.02, 507.79, 767.80, 857.36, 453.43, 329.36, 12.08, 453.43, 0.01
296, 495.37, 507.43, 720.27, 851.38, 453.12, 338.71, 11.74, 453.12, 0.01
297, 494.00, 507.80, 719.57, 835.40, 453.11, 350.65, 11.33, 453.11, 0.01
298, 478.22, 507.70, 724.58, 854.51, 453.52, 336.01, 11.79, 453.52, 0.02
299, 494.52, 507.71, 718.71, 874.67, 453.20, 326.48, 9.14, 453.20, 0.01
300, 479.04, 507.89, 722.55, 863.35, 453.50, 334.72, 11.79, 453.50, 0.02
301, 476.30, 507.85, 721.03, 857.67, 453.39, 335.74, 11.83, 453.39, 0.02
302, 469.08, 507.84, 732.42, 857.04, 453.52, 340.01, 11.70, 453.52, 0.02
303, 484.10, 507.55, 723.55, 867.43, 453.13, 324.10, 9.20, 453.13, 0.02
304, 465.70, 507.82, 723.38, 836.30, 453.38, 342.17, 11.62, 453.38, 0.01
305, 493.15, 507.81, 720.04, 851.57, 453.16, 337.15, 11.79, 453.16, 0.01
306, 477.26, 507.98, 721.87, 846.89, 453.34, 337.61, 11.72, 453.34, 0.01
307, 494.14, 507.62, 705.10, 839.30, 453.41, 353.14, 8.42, 453.41, 0.01
308, 475.64, 507.71, 723.92, 850.27, 453.39, 344.09, 5.75, 453.39, 0.01
309, 472.85, 507.86, 717.85, 852.55, 453.38, 340.49, 8.76, 453.38, 0.02
310, 476.30, 507.92, 722.64, 874.91, 453.53, 331.37, 14.98, 453.53, 0.01
311, 477.82, 507.53, 723.82, 844.21, 453.20, 348.60, 11.41, 453.20, 0.01
312, 473.33, 507.52, 742.20, 859.93, 453.31, 331.67, 11.99, 453.31, 0.01
313, 482.99, 507.73, 723.97, 861.54, 453.39, 338.12, 11.72, 453.39, 0.01
314, 478.63, 507.98, 720.28, 866.17, 453.31, 329.95, 12.03, 453.31, 0.01
315, 492.62, 507.75, 721.10, 828.78, 453.36, 344.92, 11.51, 453.36, 0.01
